id;assigned_date;assigned_by;confidence;is_auto_tagged;source;document_id;tag_id
1;2025-12-19T17:02:41;once;0.8;false;MANUAL;1;1
2;2025-12-19T20:32:36;instead what soon;0.93;false;RULE_BASED;2;2
3;2025-12-20T02:33:54;miscalculate duh;0.5;true;MANUAL;3;3
4;2025-12-20T08:40:42;shakily for;0.79;true;AI_CONFIRMED;4;4
5;2025-12-19T18:44:54;excluding lawmaker ouch;0.21;true;MANUAL;5;5
6;2025-12-19T20:14:40;blind;0.43;false;RULE_BASED;6;6
7;2025-12-20T12:46:49;phooey;0.61;true;RULE_BASED;7;7
8;2025-12-20T09:45:27;diligently banish;0.99;false;AI_SUGGESTED;8;8
9;2025-12-19T20:57:45;snowplow given sonata;0.39;true;RULE_BASED;9;9
10;2025-12-20T14:57:43;best oh;0;false;MANUAL;10;10
