id;document_id_1;document_id_2;similarity_score;algorithm;features;computed_date;is_relevant;reviewed_by;reviewed_date
1;22266;19972;0.24;DEEP_LEARNING;../fake-data/blob/hipster.txt;2025-12-20T03:23:16;true;internationalize;2025-12-20T03:25:38
2;32322;20743;0.38;JACCARD;../fake-data/blob/hipster.txt;2025-12-20T13:46:41;true;incidentally whenever;2025-12-19T17:08:43
3;23806;29756;0.94;LSH;../fake-data/blob/hipster.txt;2025-12-20T11:32:58;false;ew yet primary;2025-12-20T13:08:06
4;4171;7956;0.3;COSINE;../fake-data/blob/hipster.txt;2025-12-20T08:23:31;false;from lest than;2025-12-20T01:45:35
5;17392;30796;0.54;JACCARD;../fake-data/blob/hipster.txt;2025-12-19T18:53:51;true;hopelessly if instead;2025-12-19T22:14:40
6;9459;18419;0.23;LSH;../fake-data/blob/hipster.txt;2025-12-20T05:58:31;false;rim;2025-12-20T00:34:23
7;27586;29151;0.19;DEEP_LEARNING;../fake-data/blob/hipster.txt;2025-12-20T07:03:03;true;frizzy boiling;2025-12-20T05:33:31
8;30421;25017;0.58;COSINE;../fake-data/blob/hipster.txt;2025-12-20T11:23:22;false;psst crank oh;2025-12-19T22:54:16
9;30324;23704;0.18;LEVENSHTEIN;../fake-data/blob/hipster.txt;2025-12-20T06:07:44;false;lowball unlike righteously;2025-12-19T16:05:11
10;14453;3251;0.07;JACCARD;../fake-data/blob/hipster.txt;2025-12-20T11:06:47;false;decouple;2025-12-20T01:32:54
