id;document_id;fingerprint_type;fingerprint;vector_embedding;metadata;computed_date;last_updated
1;27813;VECTOR_EMBEDDING;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2025-12-19T19:28:07;2025-12-20T14:05:48
2;1982;TF_IDF;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2025-12-19T19:16:39;2025-12-20T07:11:41
3;3016;VECTOR_EMBEDDING;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2025-12-20T08:50:30;2025-12-19T22:03:26
4;1338;BERT;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2025-12-20T01:30:30;2025-12-20T11:10:31
5;3610;VECTOR_EMBEDDING;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2025-12-20T14:47:01;2025-12-20T12:33:02
6;15847;VECTOR_EMBEDDING;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2025-12-20T07:07:13;2025-12-19T21:24:02
7;30407;TF_IDF;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2025-12-19T22:38:27;2025-12-19T20:42:59
8;28568;TF_IDF;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2025-12-20T02:48:48;2025-12-20T04:50:04
9;22822;VECTOR_EMBEDDING;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2025-12-20T11:33:15;2025-12-19T20:42:18
10;4776;VECTOR_EMBEDDING;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2025-12-20T00:19:17;2025-12-20T00:57:04
