id;rule_id;email_field;document_field;transformation;transformation_config;is_required;default_value;validation_regex;rule_id
1;25885;ATTACHMENT_COUNT;why puppet;SPLIT;../fake-data/blob/hipster.txt;false;though violently;incidentally solder;1
2;4501;ATTACHMENT_COUNT;concerning judgementally;EXTRACT_NUMBER;../fake-data/blob/hipster.txt;false;duh by;joint like culture;2
3;26481;DATE;key stay psst;REGEX_EXTRACT;../fake-data/blob/hipster.txt;false;modulo;minus commandeer;3
4;7823;TO;eke;EXTRACT_NUMBER;../fake-data/blob/hipster.txt;true;low meatloaf outfox;atop impartial appliance;4
5;3081;CC;despite;REGEX_EXTRACT;../fake-data/blob/hipster.txt;true;how wonderful;depute ack;5
6;29117;IN_REPLY_TO;ick exactly;NONE;../fake-data/blob/hipster.txt;false;compromise habit huzzah;since costume;6
7;20988;ATTACHMENT_NAME;beyond;SPLIT;../fake-data/blob/hipster.txt;false;queasy which vastly;clone;7
8;27336;ATTACHMENT_COUNT;merrily tensely manipulate;REGEX_EXTRACT;../fake-data/blob/hipster.txt;true;unless wholly absent;simple psst yuck;8
9;2205;BODY;spew;EXTRACT_EMAIL;../fake-data/blob/hipster.txt;false;sans busy;boo;9
10;7588;BODY;once;EXTRACT_NUMBER;../fake-data/blob/hipster.txt;false;ugh;summary ugh;10
